"genus_species","population_id","lifespan_days","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","latitude","longitude","realm_general2","maximum_body_size_svl_hbl_cm"
"Hybognathus placitus","Hybognathus placitus_34.86_NA","730","","","none","none",34.86,-96.73,"Freshwater","13"
"Hybognathus placitus","Hybognathus placitus_35.66_NA","730","","","none","none",35.66,-97.47,"Freshwater","13"
"Hypentelium nigricans","Hypentelium nigricans_42.6_NA","4015","","","none","none",42.6,-78.47,"Freshwater","61"
"Hypophthalmichthys nobilis","Hypophthalmichthys nobilis_26.47_NA","7300","0.208","0.458","none","none",26.47,99.15,"Freshwater","146"
"Ictalurus punctatus","Ictalurus punctatus_29.21_NA","8760","","","none","none",29.21,-89.28,"Freshwater","132"
"Ictalurus punctatus","Ictalurus punctatus_29.48_NA","8760","","","none","none",29.48,-81.68,"Freshwater","132"
"Ictalurus punctatus","Ictalurus punctatus_35.66_NA","8760","","","none","none",35.66,-97.47,"Freshwater","132"
"Ictalurus punctatus","Ictalurus punctatus_41.65_NA","8760","","","none","none",41.65,-82.83,"Freshwater","132"
"Ictalurus punctatus","Ictalurus punctatus_47.99_NA","8760","","","none","none",47.99,-97.06,"Freshwater","132"
"Lates calcarifer","Lates calcarifer_-12.83_NA","7300","0.792","0.125","none","none",-12.83,132.86,"Freshwater","200"
"Lates calcarifer","Lates calcarifer_11.49_NA","7300","0.792","0.125","none","none",11.49,79.76,"Freshwater","200"
"Lepomis cyanellus","Lepomis cyanellus_35.66_NA","3285","","","none","none",35.66,-97.47,"Freshwater","31"
"Lepomis cyanellus","Lepomis cyanellus_38.16_NA","3285","","","none","none",38.16,-81.2,"Freshwater","31"
"Lepomis gibbosus","Lepomis gibbosus_47.37_NA","4380","","","none","none",47.37,-120.26,"Freshwater","40"
"Lepomis megalotis","Lepomis megalotis_35.66_NA","2190","","","none","none",35.66,-97.47,"Freshwater","24"
"Lepomis megalotis","Lepomis megalotis_38.524_NA","2190","","","none","none",38.524,-92.472,"Freshwater","24"
"Luxilus chrysocephalus","Luxilus chrysocephalus_39.97_NA","2190","","","none","none",39.97,-82.81,"Freshwater","24"
"Luxilus chrysocephalus","Luxilus chrysocephalus_38.189801_NA","2190","","","none","none",38.189801,-91.908238,"Freshwater","24"
"Luxilus chrysocephalus","Luxilus chrysocephalus_39.490383_NA","2190","","","none","none",39.490383,-84.325019,"Freshwater","24"
"Luxilus cornutus","Luxilus cornutus_35.96_NA","2190","","","none","none",35.96,-83.92,"Freshwater","18"
"Luxilus cornutus","Luxilus cornutus_38.32_NA","2190","","","none","none",38.32,-92.54,"Freshwater","18"
"Luxilus cornutus","Luxilus cornutus_42.6_NA","2190","","","none","none",42.6,-78.47,"Freshwater","18"
