"genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_distance2_category","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference"
"Hybognathus","placitus","365","C. M. Taylor & Miller, 1990","365","C. M. Taylor & Miller, 1990","Y","100+","Osterhaus & Martin, 2019",NA,NA,"13","Froese & Pauly, 2000","7","Froese & Pauly, 2000","7","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","730","C. M. Taylor & Miller, 1990"
"Hypophthalmichthys","nobilis","1825","IUCN, 2020","1825","IUCN, 2020","Y","100+","L. M. Peters et al., 2006",NA,NA,"146","Froese & Pauly, 2000","60","Froese & Pauly, 2000","60","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","late spring/early summer","late spring/early summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","unk","","Nikki","7300","Froese & Pauly, 2000"
"Luxilus","chrysocephalus","730","Eakins, 2020c","730","Eakins, 2020c","Y","0-1","Lonzarich et al., 2000",NA,NA,"24","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.00817","Lonzarich et al., 2000","Nikki","2190","Simmons & Beckman, 2012"
"Luxilus","cornutus","730","Wichert & Rapport, 1998","730","Wichert & Rapport, 1998","Y","unk","",NA,NA,"18","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","2190","Froese & Pauly, 2000"
"Notemigonus","crysoleucas","730","Wichert & Rapport, 1998","730","Wichert & Rapport, 1998","Y","unk","",NA,NA,"32","Froese & Pauly, 2000","14.4","Froese & Pauly, 2000","14.4","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","3285","Meyers et al., 2015;Froese & Pauly, 2000"
"Notropis","atherinoides","365","Wichert & Rapport, 1998","365","Wichert & Rapport, 1998","Y","unk","",NA,NA,"13","Froese & Pauly, 2000","8.6","Froese & Pauly, 2000","8.6","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1825","Huenemann et al., 2015"
"Notropis","hudsonius","365","NatureServe, 2020;Peer, 1966","365","NatureServe, 2020;Peer, 1966","Y","0-1","Choy et al., 2008",NA,NA,"15","Froese & Pauly, 2000","9","Froese & Pauly, 2000","9","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.79","Happel et al., 2015","Nikki","1825","Peer, 1966"
"Notropis","rubellus","365","Wichert & Rapport, 1998","365","Wichert & Rapport, 1998","Y","unk","",NA,NA,"9","Froese & Pauly, 2000","6.7","Froese & Pauly, 2000","6.7","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000"
"Notropis","stramineus","730","Peer, 1966","730","Peer, 1966","Y","unk","",NA,NA,"8.2","Froese & Pauly, 2000","4.4","Froese & Pauly, 2000","4.4","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Huenemann et al., 2015"
"Pimephales","notatus","365","NatureServe, 2020","730","NatureServe, 2020","","10-100","Jacquemin et al., 2013;Froese & Pauly, 2000",NA,NA,"11","Froese & Pauly, 2000","6.5","Froese & Pauly, 2000","6.5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1825","Meyers et al., 2015;Froese & Pauly, 2000"
"Rhinichthys","osculus","730","NatureServe, 2020;Peden & Hughes, 1981","unk","","","1-10","Robinson et al., 1998",NA,NA,"11","Froese & Pauly, 2000","6.3","Froese & Pauly, 2000","6.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","2190","NatureServe, 2020"
"Siphateles","bicolor","730","NatureServe, 2020","730","NatureServe, 2020","","unk","",NA,NA,"45","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","13140","Finger & May, 2015"
"Squalius","cephalus","1460","IUCN, 2020","730","IUCN, 2020","","1-10","Říha et al., 2013;Fredrich et al., 2003",NA,NA,"60","Froese & Pauly, 2000","30","Froese & Pauly, 2000","30","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","April/May/June",NA,"Fredrich et al., 2003;Filipović Marijić & Raspor, 2014","0.0000126-0.79","Fredrich et al., 2003","Nikki","5475","IUCN, 2020"
"Cyprinodon","bovinus","unk","","unk","","Y","unk","",NA,NA,"5.6","Froese & Pauly, 2000","3.8","Froese & Pauly, 2000","3.8","Froese & Pauly, 2000","Y","kunk","S. E. Kennedy, 1977","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","690","NatureServe, 2020"
"Cyprinodon","dearborni","90","Kristensen, 1970","90","Kristensen, 1970","Y","unk","",NA,NA,"4","Froese & Pauly, 2000;Debrot, 2003","","","","","","none","Froese & Pauly, 2000","non-migratory","Kristensen, 1970",NA,NA,"","unk","","Nikki","unk",""
"Cyprinodon","nevadensis","28","NatureServe, 2020","28","NatureServe, 2020","Y","unk","",NA,NA,"7.8","Froese & Pauly, 2000;Debrot, 2003","4.5","Froese & Pauly, 2000;   (Debrot+ A. O. (2003). A review of the freshwater fishes of Curaçao+ with comments on those of Aruba and Bonaire. Caribbean Journal of Science+ 39(1)+ 100-108.)","4.5","Froese & Pauly, 2000; Debrot, 2003","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","365","Gerking & Lee, 1982"
"Gobiomorphus","basalis","365","IUCN, 2020","365","IUCN, 2020","Y","unk","",NA,NA,"9","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","2920","IUCN, 2020"
"Gobiomorphus","cotidianus","365","IUCN, 2020","365","IUCN, 2020","Y","1-10","Van Den Heuvel et al., 2007;Landman et al., 2010",NA,NA,"15","Froese & Pauly, 2000","","","","","","","","migratory","IUCN, 2020","winter",NA,"Michel et al., 2008","unk","","Nikki","1825","IUCN, 2020"
"Fundulus","diaphanus","365","Phillips et al., 2007","unk","","","unk","",NA,NA,"13","Froese & Pauly, 2000","6.3","Froese & Pauly, 2000","6.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1580","Phillips et al., 2007"
"Fundulus","heteroclitus","365","NatureServe, 2020","365","NatureServe, 2020","Y","1-10","Fritz et al., 1975;D. R. Brown et al., 2016",NA,NA,"15","Froese & Pauly, 2000","8.9","Froese & Pauly, 2000","8.9","Froese & Pauly, 2000","Y","kunk","Skinner et al., 2005;IUCN, 2020","non-migratory","IUCN, 2020",NA,NA,"","0.00407-0.13","Skinner et al., 2005;Hoff, 1985;Lotrich, 1975","Nikki","1580","Kneib & Stiven, 1978;Froese & Pauly, 2000"
"Fundulus","notatus","365","NatureServe, 2020","365","NatureServe, 2020","Y","0-1","Alldredge et al., 2011",NA,NA,"8","Froese & Pauly, 2000","5.8","Froese & Pauly, 2000","5.8","Froese & Pauly, 2000","Y","none","NatureServe, 2020","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Mandrak & Holm, 2001"
"Gobiesox","strumosus","150","Runyan, 1961","unk","","Y","unk","",NA,NA,"8","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Saksena & Joseph, 1972",NA,NA,"","unk","","Nikki","unk",""
"Bathygobius","fuscus","unk","","unk","","","0-1","Taru et al., 2002",NA,NA,"12","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","M. Y. Chang et al., 2006",NA,NA,"","unk","","Nikki","1460","Takegaki et al., 2012"
"Bathygobius","ramosus","unk","","unk","","","unk","",NA,NA,"20","Froese & Pauly, 2000","12","Froese & Pauly, 2000","12","Froese & Pauly, 2000","Y","none","Froese & Pauly, 2000","unk","",NA,NA,"","unk","","Nikki","unk",""
"Gobiosoma","chiquita","unk","","unk","","","0-1","Clobert et al., 1998",NA,NA,"6.5","Froese & Pauly, 2000","","","","","","","","non-migratory","Stahl, 1975",NA,NA,"","unk","","Nikki","unk",""
"Haemulon","flavolineatum","450","IUCN, 2020;Munro, 1983","450","IUCN, 2020;Munro, 1983","Y","10-100","IUCN, 2020",NA,NA,"30","Froese & Pauly, 2000","17","Froese & Pauly, 2000","17","Froese & Pauly, 2000","Y","","","non-migratory","Cocheret De La Morinière et al., 2002",NA,NA,"","2.01-8.04","Munro, 1983","Nikki","kunk","McDougall et al., 2019"
