"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","realm_general2","Notes","genus","species","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","lifespan_days","lifespan_days_reference"
1,"Abudefduf saxatilis","Chordata","Teleostei","Perciformes","Pomacentridae",NA,"Graham 1971","Comte","Abudefduf saxatilis_9.66_NA_-79.34","28",9.66,-79.34,"","Atlantic Panama",NA,39.3,"tmax",0.26,"SD",13,"lethal","death","0.0383",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Abudefduf","saxatilis","22.9","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1825","Sergeant Major (Abudefduf saxatilis), n.d."
10,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA_-66.13","10",45.3,-66.13,"","Carter's Point Kingston New Brunswick Canada",NA,27.6,"tmax",0.35,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Acipenser","brevirostrum","143","Froese & Pauly, 2000","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","Nikki","25125","IUCN, 2020"
11,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA_-66.13","15",45.3,-66.13,"","Carter's Point Kingston New Brunswick Canada",NA,31.5,"tmax",0.91,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Acipenser","brevirostrum","143","Froese & Pauly, 2000","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","Nikki","25125","IUCN, 2020"
12,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA_-66.13","20",45.3,-66.13,"","Carter's Point Kingston New Brunswick Canada",NA,32.8,"tmax",1.17,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Acipenser","brevirostrum","143","Froese & Pauly, 2000","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","Nikki","25125","IUCN, 2020"
89,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Martin 1988","Comte","Ambassis ambassis_-30.86_NA_25.14","24",-30.86,25.14,"","South Africa",14,36.5,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
90,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA_79.76","20",11.49,79.76,"","Vellar Brackish India",7,35.49,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
91,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA_79.76","25",11.49,79.76,"","Vellar Brackish Tamil Nadu India",7,36.47,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
92,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA_79.76","28",11.49,79.76,"","Vellar Brackish Tamil Nadu India",7,37.02,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
93,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA_79.76","30",11.49,79.76,"","Vellar Brackish Tamil Nadu India",7,37.54,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
94,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA_79.76","35",11.49,79.76,"","Vellar Brackish Tamil Nadu India",7,38.54,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
95,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru 2002","Comte","Ambassis ambassis_11.49_NA_79.76","28",11.49,79.76,"","Vellar Brackish Tamil Nadu India",NA,37.02,"tmax",0.13,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
96,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru 2002","Comte","Ambassis ambassis_11.49_NA_79.76","28",11.49,79.76,"","Vellar Brackish Tamil Nadu India",NA,38.5,"tmax",NA,"SD",10,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
97,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru 2002","Comte","Ambassis ambassis_11.49_NA_79.76","28",11.49,79.76,"","Vellar Brackish Tamil Nadu India",NA,40.5,"tmax",NA,"SD",10,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis","15","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985"
159,"Ameiurus melas","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Spotila et al. 1979","Comte","Ameiurus melas_42.08_NA_-81.34","23",42.08,-81.34,"","Lake Erie",NA,35,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ameiurus","melas","66","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","3650","Froese & Pauly, 2000;Meyers et al., 2015"
160,"Ameiurus melas","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Beitinger et al. 2000","Comte","Ameiurus melas_39.016739_NA_-90.992256","26",39.016739,-90.992256,"inferred","Cuivre River, Missouri, United States",NA,38.1,"tmax",0.39,"SD",7,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ameiurus","melas","66","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","3650","Froese & Pauly, 2000;Meyers et al., 2015"
163,"Ameiurus natalis","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Spotila et al. 1979","Comte","Ameiurus natalis_42.08_NA_-81.34","22.2",42.08,-81.34,"","Lake Erie",NA,36.4,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ameiurus","natalis","60","Froese & Pauly, 2000","","Greenbank, 1956","non-migratory","IUCN, 2020","","","","Nikki","2555","Meyers et al., 2015"
167,"Ameiurus natalis","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Beitinger et al. 2000","Comte","Ameiurus natalis_39.201_NA_-92.177","26",39.201,-92.177,"inferred","centroid of Salt River, Lamine River, Missouri, United States",NA,37.9,"tmax",0.44,"SD",7,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ameiurus","natalis","60","Froese & Pauly, 2000","","Greenbank, 1956","non-migratory","IUCN, 2020","","","","Nikki","2555","Meyers et al., 2015"
277,"Anguilla australis","Chordata","Teleostei","Anguilliformes","Anguillidae",NA,"Simons 1984","Comte","Anguilla australis_-37.27_NA_174.87","12",-37.27,174.87,"","Lower Waikato River New Zealand",7,33.4,"tmax",1,"SD",13,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Anguilla","australis","130","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Sarah/Nikki","11680","De Magalhães & Costa, 2009"
