"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","realm_general2","Notes","genus","species","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","lifespan_days","lifespan_days_reference","is_in_south","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","season_inactive_start2","season_inactive_stop2"
1,"Abudefduf saxatilis","Chordata","Teleostei","Perciformes","Pomacentridae",NA,"Graham 1971","Comte","Abudefduf saxatilis_9.66_-79.34",28,9.66,-79.34,"","Atlantic Panama",NA,39.3,"tmax",0.26,"SD",13,"lethal","death","0.0383",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Abudefduf","saxatilis",22.9,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1825","Sergeant Major (Abudefduf saxatilis), n.d.","N","","","","","",""
10,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_-66.13",10,45.3,-66.13,"","Carter's Point Kingston New Brunswick Canada",NA,27.6,"tmax",0.35,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Acipenser","brevirostrum",143,"Froese & Pauly, 2000","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","Nikki","25125","IUCN, 2020","N","0.208","0.792","","","",""
11,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_-66.13",15,45.3,-66.13,"","Carter's Point Kingston New Brunswick Canada",NA,31.5,"tmax",0.91,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Acipenser","brevirostrum",143,"Froese & Pauly, 2000","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","Nikki","25125","IUCN, 2020","N","0.208","0.792","","","",""
12,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_-66.13",20,45.3,-66.13,"","Carter's Point Kingston New Brunswick Canada",NA,32.8,"tmax",1.17,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Acipenser","brevirostrum",143,"Froese & Pauly, 2000","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","Nikki","25125","IUCN, 2020","N","0.208","0.792","","","",""
89,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Martin 1988","Comte","Ambassis ambassis_-30.86_25.14",24,-30.86,25.14,"","South Africa",14,36.5,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis",15,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985","Y","","","","","",""
90,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_79.76",20,11.49,79.76,"","Vellar Brackish India",7,35.49,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis",15,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985","N","","","","","",""
91,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_79.76",25,11.49,79.76,"","Vellar Brackish Tamil Nadu India",7,36.47,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis",15,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985","N","","","","","",""
92,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_79.76",28,11.49,79.76,"","Vellar Brackish Tamil Nadu India",7,37.02,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis",15,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985","N","","","","","",""
93,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_79.76",30,11.49,79.76,"","Vellar Brackish Tamil Nadu India",7,37.54,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis",15,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985","N","","","","","",""
94,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_79.76",35,11.49,79.76,"","Vellar Brackish Tamil Nadu India",7,38.54,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis",15,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985","N","","","","","",""
95,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru 2002","Comte","Ambassis ambassis_11.49_79.76",28,11.49,79.76,"","Vellar Brackish Tamil Nadu India",NA,37.02,"tmax",0.13,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis",15,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985","N","","","","","",""
96,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru 2002","Comte","Ambassis ambassis_11.49_79.76",28,11.49,79.76,"","Vellar Brackish Tamil Nadu India",NA,38.5,"tmax",NA,"SD",10,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ambassis","ambassis",15,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Milton & Arthington, 1985","N","","","","","",""
