"","intratherm_id","genus_species","genus","species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","data_gatherer","Home.range.size_Km2","logic.source_for_Home.range.size","lifespan_days","lifespan_days_reference","Notes","raster_mean"
"1",1,"Abudefduf saxatilis","Abudefduf","saxatilis","Chordata","Teleostei","Perciformes","Pomacentridae",NA,"Graham 1971","Comte","Abudefduf saxatilis_9.66_NA",28,9.66,-79.34,"","Abudefduf","saxatilis","Atlantic Panama",NA,39.3,"tmax",0.26,"SD",13,"lethal","death","0.0383",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"days",NA,"1825","5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 )","1825","5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 )","Y","10-100","LARVAE: PLD 17-20 days (https://doi.org/10.1007/BF00541659)",NA,"22.9","TL male/unsexed -fishbase","15","SL male/unsexed -fishbase","15","SL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"1825","2-5 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Abudefduf_saxatilis)",NA,NA
"2",10,"Acipenser brevirostrum","Acipenser","brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA",10,45.3,-66.13,"","Acipenser","brevirostrum","Carter's Point Kingston New Brunswick Canada",NA,27.6,"tmax",0.35,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","730","2-3 years (IUCN Red List)",NA,"10-100","GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer)",NA,"143","TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","Y","none","""may be inactive in winter"" but not dormant (NatureServe Explorer)","migratory","IUCN Red List","spring-fall","spring-fall","DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer","Nikki","3.14-314.16","2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x)","24455","32-67 years max (IUCN)",NA,NA
"3",11,"Acipenser brevirostrum","Acipenser","brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA",15,45.3,-66.13,"","Acipenser","brevirostrum","Carter's Point Kingston New Brunswick Canada",NA,31.5,"tmax",0.91,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","730","2-3 years (IUCN Red List)",NA,"10-100","GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer)",NA,"143","TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","Y","none","""may be inactive in winter"" but not dormant (NatureServe Explorer)","migratory","IUCN Red List","spring-fall","spring-fall","DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer","Nikki","3.14-314.16","2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x)","24455","32-67 years max (IUCN)",NA,NA
"4",12,"Acipenser brevirostrum","Acipenser","brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA",20,45.3,-66.13,"","Acipenser","brevirostrum","Carter's Point Kingston New Brunswick Canada",NA,32.8,"tmax",1.17,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","730","2-3 years (IUCN Red List)",NA,"10-100","GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer)",NA,"143","TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","Y","none","""may be inactive in winter"" but not dormant (NatureServe Explorer)","migratory","IUCN Red List","spring-fall","spring-fall","DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer","Nikki","3.14-314.16","2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x)","24455","32-67 years max (IUCN)",NA,NA
"5",89,"Ambassis ambassis","Ambassis","ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Martin 1988","Comte","Ambassis ambassis_-30.86_NA",24,-30.86,25.14,"","Ambassis","ambassis","South Africa",14,36.5,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,"365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","Y","unk","classified as resident species in estuaries (http://dx.doi.org/10.4314/wsa.v41i1.12)",NA,"15","TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"1095","males 2 years+ females potentially 3 (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)",NA,NA
"6",90,"Ambassis ambassis","Ambassis","ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",20,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish India",7,35.49,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","Y","unk","classified as resident species in estuaries (http://dx.doi.org/10.4314/wsa.v41i1.12)",NA,"15","TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"1095","males 2 years+ females potentially 3 (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)",NA,NA
"7",91,"Ambassis ambassis","Ambassis","ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",25,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",7,36.47,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","Y","unk","classified as resident species in estuaries (http://dx.doi.org/10.4314/wsa.v41i1.12)",NA,"15","TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"1095","males 2 years+ females potentially 3 (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)",NA,NA
"8",92,"Ambassis ambassis","Ambassis","ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",28,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",7,37.02,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","Y","unk","classified as resident species in estuaries (http://dx.doi.org/10.4314/wsa.v41i1.12)",NA,"15","TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"1095","males 2 years+ females potentially 3 (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)",NA,NA
"9",93,"Ambassis ambassis","Ambassis","ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",30,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",7,37.54,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","Y","unk","classified as resident species in estuaries (http://dx.doi.org/10.4314/wsa.v41i1.12)",NA,"15","TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"1095","males 2 years+ females potentially 3 (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)",NA,NA
"10",94,"Ambassis ambassis","Ambassis","ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA",35,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish Tamil Nadu India",7,38.54,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","Y","unk","classified as resident species in estuaries (http://dx.doi.org/10.4314/wsa.v41i1.12)",NA,"15","TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"1095","males 2 years+ females potentially 3 (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)",NA,NA
